ZipCode/Item,,,,2022-3347 Sport Fishing License (Free - Nonres Developmentally Impaired),2022-3348 Sport Fishing License (Free - Nonres Visually Impaired),,2022-3340 Sport Fishing License (Free - Res Developmentally Impaired),2022-3341 Sport Fishing License (Free - Res Mobility Impaired),2022-3343 Sport Fishing License (Free - Res Native American w/Low Income),2022-3342 Sport Fishing License (Free - Res Visually Impaired),,2022-1020 Sport Fishing License (Nonres),2022-3310 Sport Fishing License (Reduced - Disabled Veteran),,2022-3312 Sport Fishing License (Reduced - Recovering Service Member),,2022-3311 Sport Fishing License (Reduced - Res Senior w/Low Income),,2022-1010 Sport Fishing License (Res),,2022-1011 Sport Fishing License (Res)  - Voucher Redemption,2022-1017 Sport Fishing License - Lifetime,2022-1043 Sport Fishing 1-Day License (Quick-Sale),2022-1040 Sport Fishing 1-Day License (Res/Nonres),2022-1041 Sport Fishing 1-Day License (Res/Nonres) (TAN),2022-0230 Sport Fishing 10-Day License (Nonres),2022-0250 Sport Fishing 2-Day License (Res/Nonres),2022-1510 SHARE Fishing Multi Choice Application,2022-1000 North Coast Salmon Report Card,2022-1007 North Coast Salmon Report Card - Lifetime,2022-0271 Spiny Lobster Report Card (Full Season),2022-1030 Steelhead Report And Restoration Card,2022-1037 Steelhead Report and Restoration Card - Lifetime,2022-0260 Sturgeon Fishing Report Card,2022-1080 Recreational Crab Trap Validation,2022-1081 Recreational Crab Trap Validation (TAN),2022-0220 Second-Rod Sport Fishing Validation,2022-0227 Second-Rod Sport Fishing Validation - Lifetime,2022-1070 Sport Ocean Enhancement Validation,2022-1077 Sport Ocean Enhancement Validation - Lifetime,2022-1019 Gift Voucher for Resident Sport Fishing License - Not Valid until Redeemed,2022-9010 Multi-day Trip Declaration,2022-9012 Multi-day Trip Declaration - CPFV,2022-0275 Spiny Lobster Non-Reporting Fee,Grand Total
92225,,,,,,,4,12,,1,,33,12,,,,,,883,,5,6,,108,,15,40,,,,2,,,,0,,310,2,133,2,3,,,,1571
92227,,,,,,,2,12,,1,,4,7,,,,,,735,,21,2,,145,,2,13,,,,,,,,5,,292,1,138,1,18,,,,1399
92231,,,,,,,1,2,,,,1,5,,,,,,251,,,,,71,,1,10,,,,,,,,1,,88,,30,,,,,,461
92234,,,,,,,3,3,,2,,3,5,,,,,,384,,4,1,,186,,,30,,,,6,,,,3,,178,,138,,,,,,946
92236,,,,,,,,1,,,,1,3,,,,,,360,,5,,,145,,,25,,,,6,,,,3,,204,,79,,4,,,,836
92243,,,,,,,5,7,,,,20,24,,,,,,1348,,27,4,,278,,8,41,,,,3,,,,2,,521,,369,,40,,,1,2698
92250,,,,,,,1,1,,,,1,1,,,,,,141,,0,5,,17,,2,,,,,,,,,1,,58,,30,,1,,,,259
92253,,,,,,,1,2,,1,,6,17,,,,,,901,,9,1,,374,,9,49,,,,13,3,,,1,,418,1,309,1,25,,,,2141
92254,,,,,,,,,,,,,,,,,,,50,,,,,20,,,2,,,,,,,,,,24,,7,,,,,,103
92260,,,,,,,2,4,,,,4,10,,,,,,625,,10,1,,232,,1,60,,,,10,2,,,2,,271,1,211,1,8,,,,1455
92262,,,,,,,,1,,,,3,1,,,,,,121,,,,,51,,,6,,,,1,,,,,,70,,32,,,,,,286
92264,,,,,,,,,,,,2,1,,,,,,188,,1,1,,47,,1,15,,,,5,2,,,,,78,1,69,1,1,,,3,416
92284,,,,,,,2,5,,1,,1,29,,,,,,660,,11,3,,221,,2,60,,,,11,,,2,7,,308,,244,,9,,,1,1577
92305,,,,,,,,,,,,,,,,,,,9,,,,,3,,,1,,,,,,,,,,1,,1,,,,,,15
92307,,,,,,,2,13,,2,,2,31,,,,,,686,,5,1,,218,,,63,,,,3,,,1,4,,318,,227,,2,,,,1578
92308,,,,,,,4,12,,1,,7,24,,,,,,1041,,24,,,313,,10,73,,,,17,,,,4,,469,,388,,44,,,3,2434
92311,,,,,,,,5,,,,5,7,,,,,,210,,3,2,,88,,6,33,,,,5,,,,1,,115,1,82,1,2,,,,566
92314,,,,,,,,,,,,,,,,,,,27,,,,,47,,,8,,,,,,,,,,10,,3,,,,,,95
92315,,,,,,,5,9,,3,,17,36,,,,,,3290,,17,12,,5747,,117,1407,,,1,12,1,,,10,,1378,5,1091,4,9,,,4,13175
92324,,,,,,,,,,,,,,,,,,,24,,,,,87,,,,,,,,,,,,,3,,8,,,,,,122
92325,,,,,,,1,3,,,,7,6,,,,,,675,,5,1,,905,,8,83,,,,4,,,,4,,284,,193,,3,,,,2182
92333,,,,,,,,,,,,,,,,,,,68,,,,,152,,,33,,,,,,,,,,28,,8,,,,,,289
92335,,,,,,,1,6,,,,1,7,,,,,,541,,8,1,,281,,,40,,,,14,,,,4,,301,1,316,1,5,,,1,1529
92336,,,,,,,1,15,,,,3,18,,,,,,980,,12,2,,504,,,69,,,,17,,,,9,,469,1,499,1,17,,,1,2618
92345,,,,,,,5,14,,2,,5,18,,,,,,1639,,16,,2284,434,,3,77,,1,,13,1,,,7,,829,,630,,21,,,2,6001
92346,,,,,,,,3,,,,1,6,,,,,,301,,3,1,,250,,1,44,,,,6,,,,8,,130,1,112,1,,,,3,871
92352,,,,,,,1,,,,,3,5,,,,,,652,,,4,,339,,9,115,,1,,,,,,4,,259,1,183,1,,,,,1577
92359,,,,,,,,,,,,1,3,,,,,,208,,1,1,,106,,,12,,,,1,,,,2,,83,,77,,2,,,,497
92363,,,,,,,,,,,,5,2,,,,,,151,,3,1,,20,,7,21,,,,,,,,,,66,,36,,,,,,312
92371,,,,,,,,,,,,,,,,,,,74,,,,,14,,,,,,,1,,,,3,,26,,24,,,,,,142
92373,,,,,,,3,6,,,,,20,,,,,,874,,38,5,,304,,7,176,,,,20,4,,,7,,351,2,421,2,42,,,1,2283
92374,,,,,,,3,7,,1,,,12,,,,,,624,,9,5,,205,,1,30,,,,7,,,,2,,309,3,265,3,10,,,,1496
92376,,,,,,,3,6,,1,,1,4,,,,,,462,,2,1,,284,,2,25,,,,3,,,,2,,209,,184,,8,,,,1197
92385,,,,,,,,,,,,,,,,,,,5,,,,,26,,,2,,,,,,,,,,,,,,,,,,33
92392,,,,,,,9,23,,1,,16,63,,,,,,2265,,30,10,,664,,10,177,,,,65,4,,1,21,,1067,1,978,1,43,,,11,5460
92395,,,,,,,3,19,,,,4,9,,,,,,500,,6,1,,240,,3,61,,,,9,,,1,11,,261,,159,,10,,,1,1298
92399,,,,,,,1,7,,,,1,15,,,,,,1244,,41,3,,600,,2,72,,1,,14,1,,,6,,508,1,471,1,57,,,4,3050
92401,,,,,,,,2,,,,,1,,,,,,211,,3,1,,123,,,6,,1,,8,3,,,1,,133,1,95,1,7,,,2,599
92404,,,,,,,4,9,,1,,,6,,,,,,674,,23,,,414,,1,32,,,,14,3,,,2,,338,,324,,21,,,1,1867
92407,,,,,,,2,7,,,,4,5,,,,,,598,,10,,,359,,1,23,,,,3,,,,5,,288,,186,,14,,,1,1506
92408,,,,,,,3,10,,1,,3,15,,,,,,1226,,10,5,,223,,1,29,,1,,46,1,,,2,,541,4,580,4,1,,,11,2717
92503,,,,,,,3,10,,,,2,14,,,,,,960,,12,4,,517,,5,85,,1,,18,,1,,16,,454,2,509,2,16,,,5,2636
92506,,,,,,,9,8,0,1,,4,16,,,,,,1093,,22,3,,373,,1,79,,,,35,1,,,1,,474,,546,,40,,,7,2713
92507,,,,,,,1,4,,1,,,6,,,,,,335,,3,1,,143,,1,17,,,,1,,,,3,,150,,153,,4,,,,823
92509,,,,,,,6,4,,,,3,17,,,,,,826,,14,2,,608,,2,82,,,,21,,,,,,375,,377,,17,,,5,2359
92530,,,,,,,,8,,,,15,38,,,,,,1810,,35,6,,610,,8,108,,,,60,1,,,15,,838,1,1029,1,36,,,18,4637
92543,,,,,,,,,,,,,4,,,,,,112,,3,,,28,,,7,,,,7,,,,,,41,,39,,6,,,,247
92545,,,,,,,12,36,,,,17,69,,,,,,2755,,49,9,,2279,,1,99,,3,,56,3,,2,5,,1213,4,1240,4,58,,,14,7928
92549,,,,,,,,,,,,1,2,,,,,,50,,,,,34,,,6,,,,,,,,,,14,,26,,,,,,133
92553,,,,,,,2,20,,,,4,38,,,,,,1108,,23,,,601,,2,78,,,,37,,,1,5,,494,,610,,21,,,3,3047
92555,,,,,,,2,2,,1,,,9,,,,,,321,,6,1,,89,,2,9,,,,,,,,5,,161,,147,,5,,,,760
92561,,,,,,,0,,,,,2,10,,,,,,1115,,9,1,,2418,,2,395,,,,1,,,,,,458,,268,,,,,,4679
92562,,,,,,,4,14,,,,13,138,,,,,,3075,,31,8,,643,,14,148,,2,,138,6,,1,31,,1030,3,1713,3,56,,,20,7091
92563,,,,,,,1,1,,,,2,3,,,,,,42,,,,,13,,,3,,,,3,,,,2,,16,,32,,,,,1,119
92571,,,,,,,1,12,,2,,6,33,,,,,,1288,,14,1,,826,,3,85,,,,38,,,,14,,612,,629,,16,,,8,3588
92583,,,,,,,,6,,,,1,6,,,,,,152,,4,,,19,,,,,,,,,,,,,97,,58,,,,,,343
92587,,,,,,,,2,,,,4,4,,,,,,438,,3,2,,96,,3,9,,,,14,,,,1,,134,,186,,1,,,2,899
92590,,,,,,,1,6,,,,6,70,,,,,,1671,,12,7,,408,,1,82,,2,,141,2,,,18,,662,3,1195,3,10,,,32,4332
92591,,,,,,,,1,,,,,6,,,,,,116,,2,1,,6,,,1,,,,,,,,1,,51,1,71,1,20,,,,278
92592,,,,,,,1,1,,,,6,27,,,,,,601,,7,3,,155,,1,34,,,,53,2,,,3,,217,,394,,14,,,2,1521
92596,,,,,,,,1,,,,2,13,,,,,,761,,1,1,1129,127,,3,70,,,,,,,,4,,291,,340,,,,,,2743
92604,,,,,,,,1,,,,4,4,,,,,,661,,7,10,,341,,5,51,,1,3,169,3,3,,6,,116,3,536,3,,,,13,1940
92606,,,,,,,,,,,,3,2,,,,,,299,,,2,,130,,3,27,,,,14,5,,,7,,85,2,239,2,,,,4,824
92610,,,,,,,,,,,,1,4,,,,,,452,,1,2,,135,,4,53,,1,,29,1,,,4,,130,,274,,4,,,3,1098
92624,,,,,,,,,,,,21,17,,,,,,2147,,22,13,,448,,27,119,,9,1,718,18,1,1,5,,303,4,2034,4,12,,,168,6092
92626,,,,,,,,3,,,,10,6,,,,,,1370,,10,13,,395,,7,104,,7,,256,11,,2,8,,279,8,1196,8,12,,,47,3752
92627,,,,,,,1,,,,,7,,,,,,,693,,2,4,,133,,5,57,,2,,211,6,,,2,,71,1,707,2,1,,,42,1947
92629,,,,,,,0,1,,,,34,22,,,,,,2059,,21,16,14525,93,,23,136,,1,1,413,1,1,1,2,,170,7,2414,7,10,,,70,20028
92630,,,,,,,,4,,,,10,31,,,,,,1963,,11,7,,400,,16,94,,4,2,316,13,2,1,4,,437,5,1444,5,2,,,53,4824
92646,,,,,,,,3,,1,,8,10,,,,,,1037,,5,12,,278,,12,63,,1,1,87,1,1,,4,,298,5,937,5,6,,,15,2790
92647,,,,,,,2,2,,1,,16,16,,,,,,1949,,15,27,,533,,18,116,,1,2,297,4,2,2,12,,526,11,1723,11,16,,,59,5361
92648,,,,,,,4,3,,,,2,9,,,,,,820,,8,15,,225,,2,73,,,2,111,6,2,,6,,192,7,679,7,4,,,29,2206
92649,,,,,,,,,,,,3,7,,,,,,487,,6,8,,89,,11,21,,1,,131,1,,,1,,66,3,516,4,6,,,20,1381
92661,,,,,,,1,1,,,,16,6,,,,,,1288,,15,7,18897,41,,12,122,,,,57,,,,0,,106,2,1950,4,7,,,9,22541
92663,,,,,,,,,,,,24,2,,,,,,895,,4,10,,224,,17,87,,3,,335,13,,,3,,115,3,938,3,,,,61,2737
92672,,,,,,,,,,,,7,4,,,,,,153,,,1,,14,,7,10,,,,191,,,,1,,3,,176,,,,,43,610
92673,,,,,,,,,,,,5,9,,,,,,515,,4,3,,167,,11,46,,,,96,4,,2,4,,60,2,435,2,3,,,22,1390
92677,,,,,,,1,1,,,,7,7,,,,,,716,,4,2,,215,,4,46,,,,63,2,,1,5,,192,1,536,1,3,,,12,1819
92683,,,,,,,1,3,,,,6,2,,,,,,728,,3,4,,187,,4,45,,3,,92,1,,1,3,,245,1,632,1,4,,,12,1978
92688,,,,,,,,1,,,,4,6,,,,,,678,,2,6,,162,,2,67,,1,,78,9,,,2,,166,1,434,1,5,,,12,1637
92704,,,,,,,1,5,,,,2,3,,,,,,565,,1,2,,146,,,22,,,,27,,,,7,,225,,450,,,,,6,1462
92705,,,,,,,,,,,,1,2,,,,,,146,,,1,,210,,1,4,,,,12,,,,1,,22,,81,,,,,3,484
92706,,,,,,,,4,,,,3,3,,,,,,558,,5,1,,155,,,36,,1,,36,3,,1,,,244,,475,,2,,,9,1536
92708,,,,,,,1,2,,,,4,18,,,,,,1502,,14,24,,167,,7,61,,2,1,157,5,1,,1,,373,12,1248,12,5,,,26,3643
92780,,,,,,,0,2,,,,1,4,,,,,,593,,3,7,,186,,1,44,,1,,55,4,,1,7,,160,1,438,1,9,,,14,1532
92801,,,,,,,,1,,,,,4,,,,,,504,,4,1,,197,,3,29,,1,,29,1,,,7,,180,,348,,1,,,2,1312
92802,,,,,,,2,4,,,,3,14,,,,,,618,,6,1,,240,,2,30,,,,79,2,,2,3,,234,,500,,7,,,12,1759
92806,,,,,,,,,,,,4,1,,,,,,85,,,1,,8,,1,2,,,,26,,,,,,18,0,91,0,,,,9,246
92821,,,,,,,2,6,,,,7,25,,,,,,2113,,20,13,,503,,13,123,,2,,129,16,,,10,,742,4,1480,4,26,,,19,5257
92832,,,,,,,,,,,,1,4,,,,,,561,,8,2,,182,,,35,,,1,35,,1,,5,,231,1,377,1,,,,9,1454
92833,,,,,,,,,,,,1,1,,,,,,217,,1,,,14,,1,10,,,,7,18,,,1,,23,,115,,,,,,409
92835,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,1,,,,,,5
92841,,,,,,,,2,,,,2,3,,,,,,484,,1,4,,112,,1,16,,,,38,,,,4,,167,2,424,2,,,,5,1267
92843,,,,,,,,,,,,1,,,,,,,11,,,,,73,,,,,,,,,,,1,,2,,4,,,,,,92
92865,,,,,,,4,1,,,,8,14,,,,,,2018,,13,23,,399,,5,135,,2,,108,7,,,6,,667,7,1243,7,10,,,8,4685
92869,,,,,,,4,1,,1,,5,16,,,,,,2074,,15,11,,361,,11,93,,,,195,4,,1,16,,689,6,1876,6,8,,,33,5426
92879,,,,,,,8,7,,1,,3,16,,,,,,2159,,33,9,,694,,9,108,,2,4,160,8,4,,11,,926,6,1372,6,31,,,29,5606
92881,,,,,,,3,5,,,,4,23,,,,,,1640,,8,3,,339,,4,94,,2,,47,5,,3,3,,534,1,764,1,7,,,4,3494
92886,,,,,,,1,,,,,3,3,,,,,,695,,13,11,,185,,1,53,,2,1,52,2,1,,2,,218,5,442,5,16,,,8,1719
93001,,,,,,,1,2,0,1,,25,21,,,,,,2428,,28,16,3426,466,,43,185,,,,372,,,,16,,500,7,2541,8,14,,,79,10179
93003,,,,,,,,1,,3,,13,28,,,,,,2473,,34,13,,362,,19,109,,2,,340,10,,3,21,,623,3,2209,3,19,,,76,6364
93010,,,,,,,1,1,,1,,4,18,,,,,,1051,,26,8,,190,,1,61,,2,,96,7,,,14,,268,4,853,4,12,,,21,2643
93012,,,,,,,,2,,,,3,4,,,,,,378,,7,4,,45,,,11,,,,35,,,,1,,43,4,342,4,9,,,9,901
93023,,,,,,,,,,,,1,2,,,,,,270,,12,6,,23,,2,5,,1,,32,1,,,3,,67,2,216,2,11,,,5,661
93030,,,,,,,,4,,,,7,20,,,,,,1119,,14,1,,211,,5,51,,,,31,,,1,23,,342,1,888,1,24,,,6,2749
93033,,,,,,,1,1,,,,8,8,,,,,,495,,1,,,126,,2,20,,,,8,,,,7,,109,,470,,1,,,2,1259
93035,,,,,,,1,6,,,,20,24,,,,,,1828,,13,12,8065,139,,31,120,2,1,,212,4,,,4,,205,3,2266,3,11,,,42,13012
93036,,,,,,,,3,,,,10,48,,,,,,1415,,17,8,,266,,7,43,,1,,149,,,,11,,353,1,1340,1,4,,,26,3703
93060,,,,,,,4,,,,,1,12,,,,,,668,,7,2,,144,,5,30,,1,,43,,,,8,,261,,532,,13,,,9,1740
93065,,,,,,,3,8,,2,,5,25,,,,,,2556,,33,19,,511,,5,171,,5,,118,8,,,39,,883,7,1737,7,45,,,24,6211
93101,,,,,,,,1,,,,12,5,,,,,,867,,6,7,3388,52,,8,58,,,,493,1,,1,9,,75,0,1172,4,2,,,132,6293
93105,,,,,,,1,,,1,,16,14,,,,,,2944,,49,14,1716,380,,13,279,,5,,549,23,,,30,,872,4,2274,6,45,,,144,9379
93110,,,,,,,,,,,,7,9,,,,,,879,,13,4,1,182,,14,34,,4,,186,5,,,6,,220,1,877,1,11,,,33,2487
93117,,,,,,,,,,,,,,,,,,,22,,,,,,,,2,,,,1,,,,,,6,,19,,,,,,50
93210,,,,,,,1,7,,,,,4,,,,,,525,,17,7,,70,,2,13,,3,,,3,,1,3,,249,3,50,3,28,,,,989
93215,,,,,,,2,16,,1,,1,17,,,,,,1175,,12,4,,308,,1,39,,,,,,,1,9,,479,2,205,2,9,,,,2283
93221,,,,,,,4,8,,1,,1,6,,,,,,869,,14,,,274,,6,21,,2,,,3,,,,,317,,40,,6,,,,1572
93225,,,,,,,,3,,,,,,,,,,,134,,4,,,29,,1,7,,,,4,,,,3,,63,,64,,3,,,,315
93230,,,,,,,17,99,,1,,7,78,,,,,,3098,,129,7,,682,,6,115,,10,,,13,,22,35,,1222,,185,,138,,,,5864
93238,,,,,,,10,22,,,,24,25,,,,0,,2748,,31,13,,1163,,52,870,,,,,,,,4,,660,1,652,1,31,,,,6307
93240,,,,,,,11,47,,,,16,19,,,,,,1448,,40,2,,481,,6,138,,,,1,,,,4,,734,,220,,42,,,,3209
93243,,,,,,,,,,,,1,,,,,,,158,,,1,458,14,,,9,,,,,,,,,,61,,76,,,,,,778
93244,,,,,,,1,,,,,1,2,,,,,,338,,2,1,,205,,1,16,,,,,,,,,,78,,6,,,,,,651
93256,,,,,,,,1,,,,,,,,,,,53,,,,,10,,,,,,,,,,,1,,15,,8,,,,,,88
93257,,,,,,,19,68,,1,,11,38,,,,,,3420,,37,3,,914,,6,180,,7,,3,15,,5,19,,1259,,306,,42,,,,6353
93263,,,,,,,1,1,,,,2,,,,,,,295,,7,1,,89,,,6,,,,1,,,,,,127,,13,,7,,,,550
93268,,,,,,,1,8,,,,1,6,,,,,,663,,12,8,,144,,,17,,2,,1,2,,9,,,288,1,119,1,12,,,,1295
93271,,,,,,,,,,,,2,3,,,,,,182,,4,3,,77,,10,36,,3,,,,,,4,,25,,31,,3,,,,383
93274,,,,,,,7,37,,1,,6,39,,,,,,1945,,38,9,,568,,3,93,,,2,4,,2,6,8,,692,4,147,4,63,,,,3678
93277,,,,,,,17,47,,3,,11,71,,,,,,4480,,150,23,,708,,20,181,,7,2,9,21,2,22,22,,1544,7,382,7,192,,,,7928
93280,,,,,,,3,10,,,,2,2,,,,,,593,,8,3,,146,,3,20,,,,,,,,,,277,2,67,2,7,,,,1145
93286,,,,,,,,1,,,,,3,,,,,,129,,2,,,13,,,5,,,,,1,,,,,39,,4,,1,,,,198
93292,,,,,,,13,44,,3,,7,22,,,,,,1755,,38,8,,474,,12,91,,,,1,1,,2,9,,689,1,98,1,49,,,,3318
93301,,,,,,,,1,,,,,4,,,,,,220,,1,1,,22,,,4,,1,,,,,,1,,32,1,11,1,,,,,300
93304,,,,,,,20,79,,3,,5,44,,,,,,3171,,68,17,,1082,,7,106,,4,,19,7,,3,19,,1469,2,472,2,95,,,1,6695
93305,,,,,,,,1,,,,,,,,,,,5,,,,,14,,,,,,,,,,,,,,,0,,,,,,20
93306,,,,,,,20,69,,4,,8,36,,,,,,2739,,103,12,,839,,3,141,,7,,11,9,,2,9,,1165,,402,,133,,,2,5714
93307,,,,,,,6,19,,1,,1,14,,,,,,960,,23,7,,218,,2,36,,,,2,1,,,6,,512,2,196,,32,,,,2038
93308,,,,,,,1,3,,,,1,11,,,,,,666,,3,,,110,,,8,,1,,,,,,2,,53,,38,,1,,,,898
93311,,,,,,,,4,,,,,,,,,,,338,,7,,,352,,,39,,,,,,,,1,,165,,21,,,,,,927
93312,,,,,,,26,49,,2,,24,106,,,,,,6625,,242,40,,1289,,28,252,,25,3,52,41,3,12,37,,2765,15,1526,15,308,,,9,13494
93313,,,,,,,9,38,,,,1,16,,,,,,1643,,38,7,,503,,1,79,,,,1,,,,6,,710,4,246,4,68,,,,3374
93401,,,,,,,3,1,,,,7,18,,,,,,973,,46,10,,162,,3,35,,7,1,45,49,,4,30,,164,3,250,3,47,,,15,1876
93405,,,,,,,,1,,,,8,10,,,,,,1024,,38,12,,159,,1,25,,9,,46,24,,2,34,,225,0,308,0,45,,,8,1979
93420,,,,,,,5,11,,1,,16,26,,,,,,2099,,47,13,,831,,12,146,,8,2,22,23,2,2,47,,419,2,453,2,45,,,10,4244
93422,,,,,,,3,3,,1,,7,18,,,,,,2006,,100,12,,286,,7,39,,13,1,31,29,1,1,36,,430,2,297,2,107,,,5,3437
93424,,,,,,,1,,,,,2,3,,,,,,149,,10,2,3061,14,,9,8,,1,,5,,,,38,,25,,31,,11,,,1,3371
93426,,,,,,,,,0,,,,,,,,,,77,,,1,,101,,1,27,,,,,,,,,,15,,8,,,,,,230
93434,,,,,,,1,,,,,,3,,,,,,258,,2,2,,47,,,,,2,,1,1,,,,,26,,169,,5,,,,517
93436,,,,,,,4,,,2,,10,56,,,,,,1652,,48,6,,563,,13,64,,2,,143,4,,,30,,472,2,1364,2,64,,,37,4538
93437,,,,,,,,1,,,,2,29,,,,,,190,,,,,32,,4,11,,,,42,,,,8,,51,,189,,,,,5,564
93442,,,,,,,2,5,,0,,23,28,,,,,,1763,,53,29,5874,120,,33,97,,7,1,38,17,1,3,64,,254,4,353,4,32,,,7,8812
93446,,,,,,,5,5,,3,,16,35,,,,,,2638,,68,19,,567,,17,104,,20,1,17,32,1,2,32,,642,6,407,5,72,,,4,4718
93449,,,,,,,1,3,,,,2,15,,,,,,1002,,40,9,,212,,4,58,,8,,40,17,,3,29,,232,0,303,0,65,,,7,2050
93453,,,,,,,1,,,,,1,0,,,,,,232,,2,,264,15,,,21,,,,,,,,,,64,,45,,,,,,645
93454,,,,,,,3,2,,,,4,32,,,,,,2058,,34,9,,513,,4,64,,16,,41,30,,1,24,,415,,1255,,52,,,6,4563
93455,,,,,,,,6,,3,,13,28,,,,,,1526,,33,4,,330,,6,50,,3,,39,9,,,48,,336,,778,,41,,,7,3260
93460,,,,,,,,,,,,1,1,,,,,,275,,11,,,22,,,2,,,,,3,,,3,,126,,223,,10,,,,677
93513,,,,,,,,0,0,,,17,3,,,,,,529,,9,4,,172,,31,213,,,,1,,,,10,,116,,78,,10,,,,1193
93514,,,,,,,8,19,0,1,,111,66,,,,,,7212,,112,39,,1956,,496,2683,,1,,7,14,,,13,,1702,8,1275,8,105,,,,15836
93517,,,,,,,,2,,1,,159,14,,,,,,1834,,16,22,,1318,,382,1220,,3,,1,5,,,4,,492,6,153,6,1,,,,5639
93526,,,,,,,,,,,,4,,,,,,,141,,,,,57,,6,46,,,,,,,,,,24,,11,,,,,,289
93529,,,,,,,2,1,,0,,41,10,,,,,,2605,,19,15,,1834,,327,1545,,1,,,2,,,4,,666,7,326,7,,,,,7412
93534,,,,,,,1,11,,,,2,19,,,,,,1300,,33,3,,392,,14,102,,6,2,28,5,2,,8,,520,2,604,2,39,,,6,3101
93535,,,,,,,,6,,,,,9,,,,,,245,,1,,,119,,1,13,,,,,,,,2,,91,,74,,,,,,561
93536,,,,,,,6,26,,,,2,22,,,,,,1026,,15,2,,303,,3,72,,1,,5,1,,,11,,428,1,390,1,24,,,2,2341
93541,,,,,,,,,,,,23,5,,,,,,465,,2,1,,226,,96,277,,1,,,1,,,0,,96,,50,,,,,,1243
93545,,,,,,,2,2,,,,16,15,,,,,,1261,,10,4,,341,,101,524,,1,,,1,,,2,,210,1,196,1,2,,,,2690
93546,,,,,,,3,,,,,130,24,,,,,,7554,,34,26,,4675,,635,3798,,3,,4,16,,1,1,,1418,2,1500,2,3,,,,19829
93550,,,,,,,1,1,,1,,5,16,,,,,,715,,11,2,,101,,3,47,,,,7,1,,,8,,254,2,316,2,7,,,,1500
93551,,,,,,,1,9,,,,4,35,,,,0,,1803,,24,3,,356,,3,101,,,,26,1,,,9,,560,,786,,30,,,2,3753
93552,,,,,,,5,27,,,,5,16,,,,,,1407,,17,7,,424,,,60,,,,20,1,,,6,,550,2,653,2,15,,,7,3224
93555,,,,,,,5,11,,3,,16,52,,,,,,1313,,25,12,,372,,10,133,,3,,3,2,,,10,,401,3,240,3,45,,,,2662
93560,,,,,,,,,,,,,6,,,,,,139,,4,1,,26,,,5,,1,,,1,,,1,,61,1,47,1,3,,,,297
93561,,,,,,,5,5,,,,8,38,,,,,,1644,,28,10,,403,,8,103,,2,,14,4,,,16,,569,5,453,5,44,,,,3364
93604,,,,,,,,3,,,,5,2,,,,,,501,,4,2,,606,,16,218,,,,,,,,2,,101,1,38,1,1,,,,1501
93610,,,,,,,,2,,,,,2,,,,,,212,,3,,,84,,,5,,,,,1,,,2,,68,,20,,2,,,,401
93611,,,,,,,7,33,,3,,7,45,,,,,,2109,,80,10,,641,,7,114,,6,,,5,1,3,12,,691,2,73,2,151,,,,4002
93612,,,,,,,22,67,0,4,,14,86,,,,,,4995,,241,48,,1106,,14,185,,19,2,25,23,1,24,40,,2075,16,208,13,387,,,2,9617
