ZipCode/Item,,,,2022-3347 Sport Fishing License (Free - Nonres Developmentally Impaired),2022-3348 Sport Fishing License (Free - Nonres Visually Impaired),,2022-3340 Sport Fishing License (Free - Res Developmentally Impaired),2022-3341 Sport Fishing License (Free - Res Mobility Impaired),2022-3343 Sport Fishing License (Free - Res Native American w/Low Income),2022-3342 Sport Fishing License (Free - Res Visually Impaired),,2022-1020 Sport Fishing License (Nonres),2022-3310 Sport Fishing License (Reduced - Disabled Veteran),,2022-3312 Sport Fishing License (Reduced - Recovering Service Member),,2022-3311 Sport Fishing License (Reduced - Res Senior w/Low Income),,2022-1010 Sport Fishing License (Res),,2022-1011 Sport Fishing License (Res)  - Voucher Redemption,2022-1017 Sport Fishing License - Lifetime,2022-1043 Sport Fishing 1-Day License (Quick-Sale),2022-1040 Sport Fishing 1-Day License (Res/Nonres),2022-1041 Sport Fishing 1-Day License (Res/Nonres) (TAN),2022-0230 Sport Fishing 10-Day License (Nonres),2022-0250 Sport Fishing 2-Day License (Res/Nonres),2022-1510 SHARE Fishing Multi Choice Application,2022-1000 North Coast Salmon Report Card,2022-1007 North Coast Salmon Report Card - Lifetime,2022-0271 Spiny Lobster Report Card (Full Season),2022-1030 Steelhead Report And Restoration Card,2022-1037 Steelhead Report and Restoration Card - Lifetime,2022-0260 Sturgeon Fishing Report Card,2022-1080 Recreational Crab Trap Validation,2022-1081 Recreational Crab Trap Validation (TAN),2022-0220 Second-Rod Sport Fishing Validation,2022-0227 Second-Rod Sport Fishing Validation - Lifetime,2022-1070 Sport Ocean Enhancement Validation,2022-1077 Sport Ocean Enhancement Validation - Lifetime,2022-1019 Gift Voucher for Resident Sport Fishing License - Not Valid until Redeemed,2022-9010 Multi-day Trip Declaration,2022-9012 Multi-day Trip Declaration - CPFV,2022-0275 Spiny Lobster Non-Reporting Fee,Grand Total
93618,,,,,,,8,37,,1,,3,14,,,,,,1672,,41,7,,428,,4,65,,5,,8,2,,8,8,,661,2,67,2,59,,,3,3105
93622,,,,,,,1,2,,,,1,1,,,,,,511,,4,,,197,,,5,,,,,,,1,,,234,,4,,,,,,961
93626,,,,,,,,3,,,,,3,,,,,,323,,5,2,,182,,2,15,,,,,1,,,,,114,,6,,2,,,,658
93628,,,,,,,,,,,,7,3,,,,,,279,,,4,,273,,21,135,,,,,,,,2,,57,,46,,,,,,827
93630,,,,,,,4,32,,1,,2,17,,,,,,1459,,33,4,,427,,3,29,,,,,,,2,5,,625,,30,,26,,,,2699
93631,,,,,,,,2,,,,,,,,,,,166,,7,1,,53,,,5,,,,,,,,2,,50,,12,,11,,,,309
93634,,,,,,,,,,,,1,1,,,,,,170,,6,,,69,,4,64,,,,,,,,,,18,,2,,,,,,335
93635,,,,,,,14,56,,1,,6,34,,,,,,3128,,108,20,,673,,9,88,,5,,,13,,32,32,,1534,5,56,3,120,,,,5937
93637,,,,,,,16,69,0,1,,8,43,,,,,,2062,,60,5,,538,,9,83,,6,,,6,,27,22,,891,1,144,1,90,,,,4082
93638,,,,,,,2,5,,,,1,5,,,,,,496,,10,4,,253,,,16,,,,,,,4,5,,188,1,17,,6,,,,1013
93643,,,,,,,,4,,,,1,3,,,,,,272,,7,2,,55,,1,20,,,,,,,2,1,,83,,11,,3,,,,465
93644,,,,,,,9,15,,,,13,33,,,,,,1676,,65,12,,343,,30,162,,11,,4,18,,8,22,,524,2,211,2,55,,,,3215
93650,,,,,,,8,32,0,1,,2,20,,,,,,813,,24,1,,296,,5,56,,1,,1,3,,3,,,315,,26,,56,,,,1663
93651,,,,,,,,1,,,,3,8,,,,,,281,,5,1,,139,,,30,,1,,,1,,,4,,97,,12,,,,,,583
93654,,,,,,,2,2,,,,,5,,,,,,287,,15,3,,47,,,7,,,,,,,,,,114,,22,,12,,,,516
93657,,,,,,,4,44,,1,,7,30,,,,,,2853,,61,3,,1076,,9,89,,1,,,6,,8,0,,1077,1,67,1,40,,,,5378
93662,,,,,,,4,38,,,,2,15,,,,,,1124,,48,4,,268,,1,44,,2,,1,3,,3,2,,455,2,61,2,63,,,1,2143
93664,,,,,,,1,2,,1,,14,20,,,,,,2146,,31,10,,1437,,41,589,,,,1,6,,,6,,543,3,109,3,5,,,,4968
93669,,,,,,,,1,,,,,,,,,,,187,,1,,,275,,5,61,,,,,,,,0,,21,,13,,1,,,,565
93702,,,,,,,2,12,,,,,2,,,,,,729,,,2,,294,,1,5,,,,,2,,3,1,,283,,6,,,,,,1342
93710,,,,,,,17,72,0,1,,,83,,,,93,,1450,,37,85,,261,,4,41,,7,4,6,12,4,5,18,,483,35,115,38,61,13,,1,2946
93711,,,,,,,12,24,,,,2,18,,,,,,1243,,60,6,,294,,6,48,,4,,1,2,,12,11,,482,1,56,1,65,,,,2348
93720,,,,,,,16,31,,2,,22,116,,,,,,6661,,266,61,,1126,,26,211,,44,1,17,100,2,64,131,,2536,13,388,12,281,,,2,12129
93726,,,,,,,30,102,,,,7,50,,1,,,,2738,,72,11,,893,,14,129,,2,,3,2,,6,12,,1188,4,74,3,85,,,1,5427
93727,,,,,,,39,118,,2,,6,35,,,,,,3510,,97,13,,776,,6,117,,1,,5,3,,19,7,,1682,2,70,2,91,,,1,6602
93906,,,,,,,3,9,,,,5,13,,,,,,1357,,24,14,,274,,1,45,,4,2,,11,2,3,13,,583,1,16,1,34,,,,2415
93907,,,,,,,1,7,,1,,11,38,,,,,,3500,,44,32,,369,,5,73,,23,1,8,92,1,27,87,,1234,2,98,2,66,,,2,5724
93926,,,,,,,,,,,,,,,,,,,46,,,,,5,,,,,,,,1,,,,,26,,,,,,,,78
93933,,,,,,,1,4,,,,2,16,,,,,,690,,11,7,,137,,10,38,,6,1,,8,1,4,32,,160,1,45,1,10,,,,1185
93940,,,,,,,2,13,0,1,,29,52,,,,54,,2220,,43,79,4745,447,,14,81,,27,4,21,160,5,21,674,,382,17,98,18,41,2,,2,9252
94015,,,,,,,,16,,,,14,34,,,,,,4552,,85,55,,573,,9,74,,99,4,14,156,3,224,515,,1403,15,63,11,99,,,4,8022
94019,,,,,,,,4,,,,12,8,,,,,,1299,,9,19,1348,103,,19,43,,21,3,3,67,3,22,399,,166,6,16,5,5,,,,3580
94025,,,,,,,,2,,,,6,7,,,,,,1006,,12,17,,235,,2,39,,37,1,3,115,,37,40,,368,1,32,1,2,,,1,1964
94040,,,,,,,,1,,,,,2,,,,,,277,,1,,,84,,,10,,2,,,3,,8,5,,83,,9,,,,,,485
94044,,,,,,,,,,,,,,,,,,,75,,,1,,60,,,1,,,,2,3,,1,,,4,,10,,,,,1,158
94066,,,,,,,1,4,,,,8,8,,,,,,1496,,32,25,,300,,6,67,,28,2,6,39,,79,139,,409,8,21,7,20,,,2,2707
94070,,,,,,,,2,,,,5,4,,,,,,771,,9,13,,76,,3,9,,16,2,1,69,3,76,119,,249,5,33,5,9,,,,1479
94087,,,,,,,2,5,,0,,6,6,,,,,,1770,,34,30,,462,,7,79,,49,9,6,95,8,101,131,,576,15,44,11,49,,,,3495
94107,,,,,,,,,,,,1,,,,,,,19,,,1,,8,,,1,,4,,,8,,3,4,,3,,1,,,,,,53
94132,,,,,,,2,12,,,,13,14,,,,,,1815,,31,40,,302,,2,41,,34,1,14,129,3,96,224,,471,11,48,9,17,,,3,3332
94301,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
94403,,,,,,,,1,,,,9,9,,,,,,1650,,34,23,,340,,5,48,,50,1,6,111,1,79,110,,475,,54,,35,,,,3041
94501,,,,,,,5,21,,,,11,13,,,,,,3052,,35,29,,460,,4,60,,37,4,5,87,4,367,368,,1336,13,54,10,28,,,,6003
94503,,,,,,,5,9,,,,9,26,,,,,,884,,19,2,,142,,4,23,,27,,,16,,201,68,,318,,23,,34,,,,1810
94505,,,,,,,,2,,,,1,5,,,,,,505,,27,5,,192,,3,19,,5,,,13,,63,17,,195,,19,,39,,,,1110
94509,,,,,,,9,37,,2,,11,43,,,,,,2566,,104,13,,517,,3,73,,71,1,4,46,,528,107,,1265,1,51,1,188,,,,5641
94510,,,,,,,1,3,,1,,8,26,,,,,,1226,,53,15,,275,,8,33,,14,1,2,74,1,534,105,,662,5,25,5,49,,,,3126
94511,,,,,,,1,3,,,,3,1,,,,,,118,,3,1,,27,,2,3,,1,,,,,12,3,,45,,2,,1,,,,226
94512,,,,,,,,,,,,,,,,,,,11,,,,,5,,,,,,,,,,2,2,,4,,,,,,,,24
94513,,,,,,,1,6,,,,15,23,,,,,,2057,,95,16,,242,,8,45,,54,,1,77,1,358,98,,788,4,51,1,118,,,,4059
94514,,,,,,,,1,,,,,,,,,,,23,,,1,,206,,2,,,,,,,,,2,,53,1,,1,,,,,290
94519,,,,,,,5,6,,1,,2,17,,,,,,1916,,119,23,,398,,1,70,,76,4,4,114,4,345,138,,867,8,45,7,168,,,,4338
94523,,,,,,,6,10,,,,16,19,,,,,,2594,,118,36,,664,,5,98,,102,2,14,238,3,421,205,,1024,9,77,8,150,,,2,5821
94530,,,,,,,2,17,,,,2,9,,,,,,1182,,16,20,,174,,5,16,,15,2,6,71,2,211,89,,473,6,31,6,14,,,,2369
94533,,,,,,,6,26,,1,,27,95,,,,,,3241,,152,33,,420,,4,72,,97,4,1,227,8,798,296,,1546,12,85,10,225,,,,7386
94534,,,,,,,11,33,,1,,3,65,,,,74,,845,,29,180,,197,,5,21,,19,63,,20,63,227,60,,473,57,17,65,47,4,,,2579
94535,,,,,,,,1,,,,,23,,,,,,96,,,,,19,,1,2,,6,,,4,,12,19,,43,,17,,10,,,,253
94538,,,,,,,4,11,,1,,12,28,,,,,,2545,,88,43,,565,,8,84,,34,5,13,64,5,170,199,,1110,14,61,11,104,,,3,5182
94539,,,,,,,1,1,,,,1,0,,,,,,389,,4,6,,79,,1,8,,4,1,,5,1,18,27,,153,2,11,2,8,,,,722
94541,,,,,,,3,5,,,,3,8,,,,,,1098,,37,19,,273,,1,29,,26,3,,38,4,118,87,,547,6,30,5,58,,,,2398
94546,,,,,,,,13,,1,,5,9,,,,,,1715,,34,12,,1099,,2,25,,11,2,,29,2,140,245,,769,5,14,5,31,,,,4168
94550,,,,,,,1,9,,2,,16,13,,,,,,2662,,150,21,445,611,,4,77,,73,4,4,115,4,142,127,,1201,8,75,7,219,,,,5990
94551,,,,,,,,1,,,,4,5,,,,,,622,,11,2,,346,,,5,,1,,,,,2,1,,462,0,5,,1,,,,1468
94553,,,,,,,,10,,3,,13,15,,,,,,1596,,52,25,,389,,4,45,,49,3,9,53,2,574,153,,759,5,48,2,88,,,2,3899
94558,,,,,,,6,4,,1,,5,11,,,,,,1227,,54,11,,270,,4,56,,29,1,,54,1,219,73,,267,2,20,2,87,,,,2404
94559,,,,,,,9,10,,,,24,39,,,,,,2885,,194,67,,527,,19,60,,80,16,6,287,18,858,308,0,737,26,64,26,301,,,2,6563
94561,,,,,,,8,21,,2,,18,35,,,,,,2414,,154,26,,539,,18,49,,36,2,1,43,2,568,147,,1089,6,20,4,186,,,,5388
94564,,,,,,,4,20,,1,,7,22,,,,0,,2688,,104,19,,426,,4,38,,56,2,3,86,2,543,206,,1238,6,28,4,128,,,2,5637
94565,,,,,,,6,73,,4,,16,45,,,,,,3610,,112,19,,974,,9,77,,66,1,2,62,,1721,170,,2121,6,19,3,136,,,,9252
94568,,,,,,,,5,,,,4,17,,,,,,2249,,80,19,,496,,14,65,,63,1,11,180,1,162,172,,824,9,102,8,110,,,1,4593
94571,,,,,,,2,19,,,,23,29,,,,,,1534,,74,13,,653,,21,108,,19,,5,25,,572,65,,850,,29,,57,,,,4098
94572,,,,,,,,,,,,,,,,,,,100,,,,,21,,,3,,,,,,,29,6,,38,,,,,,,,197
94574,,,,,,,,1,,,,1,1,,,,,,175,,10,4,,33,,,5,,17,1,,46,1,16,17,,34,1,8,1,12,,,,384
94577,,,,,,,,,,,,,,,,,,,115,,,,,39,,1,3,,,,,,,6,3,,55,,2,,,,,,224
94579,,,,,,,4,14,,,,4,3,,,,,,1033,,3,3,,205,,,31,,4,,,3,,49,66,,434,1,9,1,14,,,,1881
94580,,,,,,,15,44,,2,,7,28,,,,,,2772,,65,24,,514,,1,50,,63,2,2,37,1,271,180,,1434,6,39,4,77,,,,5638
94583,,,,,,,2,,,,,1,4,,,,,,912,,37,7,,198,,1,41,,31,1,4,124,1,61,72,,286,2,35,2,60,,,,1882
94585,,,,,,,6,28,,1,,18,73,,,,,,2690,,90,14,,947,,9,68,,29,2,3,22,,1584,132,,1882,4,28,3,49,,,1,7683
94587,,,,,,,,6,,,,7,8,,,,,,864,,8,2,,212,,3,18,,9,,1,4,,42,49,,343,2,14,1,2,,,,1595
94588,,,,,,,,6,,1,,3,6,,,,,,538,,13,7,,132,,3,26,,9,2,1,13,2,20,30,,197,4,8,4,24,,,,1049
94590,,,,,,,9,49,,2,,8,35,,,,,,1918,,82,17,,328,,2,39,,69,1,1,58,1,558,209,,791,2,23,2,80,,,1,4285
94596,,,,,,,,1,,1,,2,8,,,,,,985,,25,18,,221,,6,57,,24,,5,181,,86,82,,243,1,25,1,26,,,2,2000
94605,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,4
94608,,,,,,,,3,,,,3,4,,,,,,202,,3,3,2378,29,,2,7,,2,,,9,,19,64,0,40,1,3,1,1,,,,2774
94710,,,,,,,0,9,,,,4,6,,,,,,641,,18,5,,974,,3,21,,3,,9,34,,89,159,,172,1,9,1,7,,,,2165
94803,,,,,,,,3,,,,2,1,,,,,,585,,9,3,815,23,,1,5,,5,,,2,,12,7,,316,,3,,,,,,1792
94806,,,,,,,11,2,,,,,,,,,,,99,,3,,,31,,,3,,3,,,1,,20,3,,46,,3,,2,,,,227
94903,,,,,,,6,,,1,,4,6,,,,,,1682,,50,25,,239,,2,30,,71,1,9,142,2,207,144,,382,6,28,7,50,,,3,3097
94923,,,,,,,1,,,,,18,2,,,,,,609,,14,8,,563,,19,94,,8,,,21,,7,308,,78,1,13,1,2,,,,1767
94925,,,,,,,,1,,,,12,6,,,,,,1584,,32,15,,296,,8,53,,62,4,5,225,4,146,206,,251,8,22,8,41,,,2,2991
94928,,,,,,,12,19,,2,,22,63,,,,,,4946,,222,52,,767,,18,133,,250,12,9,616,13,320,505,,951,14,139,12,287,,,1,9385
94929,,,,,,,,1,,,,4,7,,,,,,756,,11,5,,575,,19,240,,4,,,8,,12,218,,77,,5,,,,,,1942
94931,,,,,,,4,3,,,,26,31,,,,,,2948,,143,40,,307,,16,42,,183,10,2,758,12,353,572,,648,10,76,9,181,,,1,6375
94945,,,,,,,,,,,,,,,,,,,39,,,1,,5,,,,,1,,,,,1,1,,4,,3,,,,,,55
94952,,,,,,,1,1,,1,,11,12,,,,,,2112,,82,27,,733,,16,115,,33,2,2,169,3,324,447,,424,6,35,6,95,,,,4657
94954,,,,,,,3,1,,,,3,16,,,,,,1019,,59,5,,199,,4,46,,56,1,3,96,1,84,154,,214,1,27,1,67,,,,2060
94956,,,,,,,,,,,,3,1,,,,,,134,,4,3,,17,,1,1,,1,1,,6,,3,34,,9,1,8,1,2,,,,230
95002,,,,,,,,,,,,1,1,,,,,,89,,1,1,,11,,,2,,3,,,7,,84,8,,44,1,2,1,,,,,256
95003,,,,,,,,,,,,,,,,,,,18,,,,,3,,,1,,,,,,,,,,,,,,,,,,22
95008,,,,,,,,3,,,,7,7,,,,,,1098,,48,23,,366,,3,66,,23,1,2,53,,36,83,,386,10,41,6,46,,,,2308
95010,,,,,,,2,6,,1,,6,19,,,,,,1418,,58,14,,190,,11,51,,23,1,13,196,1,13,77,,222,1,55,1,89,,,2,2470
95013,,,,,,,1,2,,,,1,8,,,,,,1805,,45,17,,396,,4,28,,19,2,4,64,2,95,84,,845,5,40,3,36,,,1,3507
95018,,,,,,,,,,1,,2,2,,,,,,454,,3,1,,586,,2,1,,,,,,,,2,,57,,4,,,,,,1115
95019,,,,,,,,,,,,,,,,,,,42,,,2,,9,,,,,,,,,,,,,13,1,1,1,,,,,69
95020,,,,,,,3,10,,1,,13,20,,,,,,1609,,67,14,,328,,6,77,,31,1,,40,1,22,73,,656,3,126,3,93,,,,3197
95023,,,,,,,3,9,,,,4,35,,,,,,1892,,74,10,,575,,4,75,,13,,2,29,,25,54,,1027,3,50,3,104,,,,3991
95035,,,,,,,4,6,,3,,1,7,,,,,,738,,10,6,,198,,2,20,,4,,,8,,41,52,,231,2,14,2,6,,,,1355
95037,,,,,,,,7,,,,9,5,,,,,,959,,31,18,,195,,2,39,,15,1,6,40,1,20,43,,334,6,28,6,68,,,1,1834
95039,,,,,,,,5,,,,3,4,,,,,,806,,16,10,,301,,4,11,,4,,3,19,,9,91,,258,2,30,1,13,,,1,1591
95062,,,,,,,1,5,,,,20,25,,,,,,2643,,80,60,1861,640,,16,52,,47,6,36,311,8,26,329,,201,17,108,16,68,,,5,6581
95076,,,,,,,5,2,,1,,9,18,,,,,,1839,,64,28,,256,,7,48,,24,3,8,97,3,10,53,,647,6,52,5,59,,,1,3245
95112,,,,,,,,3,,,,1,2,,,,,,385,,9,4,,118,,1,10,,6,,1,2,,26,30,,173,4,8,3,10,,,,796
95117,,,,,,,,11,,2,,5,6,,,,,,1030,,45,15,,280,,2,48,,19,4,12,49,3,43,73,,385,6,42,6,49,,,2,2137
95118,,,,,,,7,20,,2,,41,71,,,,,,8744,,218,96,,1345,,32,272,,223,15,21,437,15,444,451,,3108,33,194,31,256,,,2,16078
95122,,,,,,,8,12,,0,,9,24,,,,,,6048,,52,46,,1601,,14,63,,31,9,17,35,10,1212,386,,2861,16,86,16,46,,,2,12604
95123,,,,,,,1,5,,1,,3,5,,,,,,666,,24,14,,145,,1,32,,26,1,3,24,1,37,47,,239,6,23,3,63,,,1,1371
95206,,,,,,,13,68,,1,,5,17,,,,92,,2263,,38,64,,1270,,5,34,,4,2,1,10,2,146,49,,1190,17,5,28,15,,,,5339
95207,,,,,,,12,43,,2,,2,18,,,,,,1084,,71,9,,291,,1,32,,22,1,,44,1,136,49,,486,2,31,2,118,,,,2457
95210,,,,,,,40,86,,2,,8,42,,,,,,3275,,180,42,,683,,5,64,,23,6,4,101,7,622,204,,1777,18,64,17,191,,,,7461
95212,,,,,,,21,66,,6,,2,26,,,,0,,1925,,43,24,,479,,3,51,,35,1,,25,1,192,70,,876,4,23,1,83,,,,3957
95219,,,,,,,21,80,,5,,15,73,,,,,,4280,,231,29,,772,,14,106,,56,4,6,196,4,520,178,,1972,10,68,9,241,,,,8890
95221,,,,,,,,,,,,1,2,,,,,,159,,4,,,42,,5,4,,,,,,,3,3,,39,,1,,2,,,,265
95222,,,,,,,2,3,,1,,16,13,,,,,,993,,49,12,,161,,17,35,,5,,,19,,14,8,,421,1,15,,34,,,,1819
95223,,,,,,,3,3,,,,9,12,,,,,,1276,,42,10,,365,,28,159,,3,,1,12,,3,1,,221,3,9,1,40,,,,2201
95228,,,,,,,2,2,,,,3,6,,,,,,356,,13,1,,71,,5,22,,1,,,5,,6,6,,133,0,22,0,7,,,,661
95237,,,,,,,,1,,,,2,3,,,,,,410,,25,4,,93,,3,13,,10,,,55,,30,11,,163,2,16,,15,,,,856
95240,,,,,,,2,6,,,,4,7,,,,,,589,,63,7,,146,,3,34,,23,,,55,,68,26,,226,2,13,2,91,,,,1367
95242,,,,,,,14,41,,2,,16,54,,,,0,,3080,,251,40,,640,,21,120,,95,3,7,221,5,327,97,,1296,11,56,9,436,,,,6842
95246,,,,,,,,3,,1,,,4,,,,,,103,,6,1,,14,,,2,,1,,,3,,6,3,,44,,6,,3,,,,200
95247,,,,,,,,,,,,,,,,,,,79,,1,1,,18,,,3,,,,,1,,2,1,,25,,2,,,,,,133
95252,,,,,,,1,14,,,,7,24,,,,,,1145,,68,9,,276,,5,21,,7,,,17,,42,33,,498,1,31,1,44,,,,2244
95254,,,,,,,1,1,,,,,1,,,,,,254,,12,1,,118,,1,51,,,,,,,1,1,,107,,4,,,,,,553
95255,,,,,,,,7,,,,1,2,,,,,,132,,9,1,,7,,,,,,,,,,4,,,40,,,,8,,,,211
95301,,,,,,,24,33,,1,,5,35,,,,,,2429,,128,8,,558,,5,65,,9,,,24,1,27,24,,1030,2,59,2,179,,,,4648
95304,,,,,,,2,13,,2,,1,18,,,,,,1454,,42,9,,424,,18,48,,11,,,8,,50,28,,656,1,19,1,36,,,,2841
95305,,,,,,,,1,,,,1,5,,,,,,307,,12,1,,40,,20,40,,1,,,4,1,8,,,87,,5,,9,,,,542
95307,,,,,,,8,57,,2,,6,27,,,,,,2276,,85,11,,482,,5,56,,9,1,,4,1,54,15,,857,2,24,2,70,,,,4054
95311,,,,,,,,,,,,,1,,,,,,71,,1,,,7,,1,2,,,,,,,,,,14,,1,,,,,,98
95320,,,,,,,,,,1,,,1,,,,,,268,,20,5,,33,,2,8,,7,,,7,,25,10,,105,,9,,20,,,,521
95321,,,,,,,,1,,,,2,4,,,,,,163,,3,5,,268,,10,46,,,,,1,,,,,29,1,5,1,4,,,,543
95322,,,,,,,,3,,1,,,6,,,,,,826,,6,0,,352,,,26,,,,,,,2,14,,498,0,40,0,,,,,1774
95330,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,1,,,,,,,,7
95336,,,,,,,6,26,,1,,11,21,,,,,,1798,,87,25,,264,,11,59,,24,2,,63,3,299,95,,915,10,35,8,68,,,,3831
95337,,,,,,,23,111,,4,,26,146,,,,,,10315,,455,62,,1083,,39,329,,148,6,6,264,7,740,302,,4420,12,169,8,645,,,,19320
95338,,,,,,,2,6,,,,5,14,,,,,,646,,33,7,,135,,7,34,,3,,2,15,,5,9,,197,1,45,,37,,,1,1204
95346,,,,,,,,2,,,,2,4,,,,,,402,,13,3,,125,,6,35,,1,,,2,,,,,58,1,3,1,5,,,,663
95348,,,,,,,43,52,,2,,9,51,,,,,,3903,,187,19,,834,,9,123,,14,1,2,32,1,48,25,,1842,4,101,3,221,,,,7526
95350,,,,,,,38,102,,5,,6,78,,,,,,5164,,281,23,,1212,,8,195,,31,2,3,64,,191,87,,1974,5,117,4,420,,,,10010
95351,,,,,,,5,22,,,,,16,,,,,,1094,,56,4,,229,,4,27,,6,,,5,,23,20,,441,,7,,100,,,,2059
95355,,,,,,,2,6,,,,3,7,,,,,,556,,26,4,,179,,,21,,4,,,12,,38,13,,204,,6,,25,,,,1106
95356,,,,,,,1,2,,,,1,9,,,,,,600,,48,7,,114,,1,17,,3,,,10,,17,15,,235,,18,,94,,,,1192
95358,,,,,,,1,1,,,,1,,,,,,,257,,,,,106,,,2,,,,,,,,3,,113,,3,,,,,,487
95360,,,,,,,1,,,,,1,1,,,,,,98,,3,,,11,,,5,,,,,1,,,3,,39,,5,,,,,,168
95361,,,,,,,2,31,,1,,15,33,,,,,,2726,,190,21,,498,,11,149,,27,,,69,2,88,44,,834,5,54,5,212,,,,5017
95363,,,,,1,,8,15,,,,1,19,,,,,,1014,,39,8,,161,,3,19,,5,,,12,,23,21,,447,,30,,43,,,,1869
95364,,,,,,,,1,,,,8,5,,,,,,822,,15,12,,706,,31,260,,,,,1,,,,,73,1,1,1,,,,,1937
95366,,,,,,,,,,,,1,,,,,,,83,,1,,,134,,2,,,3,,,2,,4,2,,22,,5,,1,,,,260
95369,,,,,,,2,2,,,,5,7,,,,,,1144,,30,3,,505,,8,62,,3,,,11,,10,4,,492,,12,,3,,,,2303
95370,,,,,,,16,56,,1,,36,88,,,,,,4474,,283,53,,605,,60,312,,35,4,,138,7,86,32,,1315,13,105,12,360,,,,8091
95375,,,,,,,,,,,,,,,,,,,15,,,,,33,,3,13,,,,,,,,,,,,,,,,,,64
95376,,,,,,,2,18,,1,,12,15,,,,,,2215,,41,5,,1074,,2,48,,11,,,20,,69,26,,1232,,29,,64,,,,4884
95377,,,,,,,1,4,,,,2,8,,,,,,184,,8,2,,57,,,11,,1,,,1,,11,10,,72,,6,,16,,,,394
95380,,,,,,,11,55,,3,,8,32,,,,,,4061,,268,21,,846,,7,127,,15,2,1,65,2,99,54,,1513,6,87,5,429,,,,7717
95383,,,,,,,,1,,,,,6,,,,,,223,,4,,,46,,2,12,,1,,,8,,3,1,,44,,2,,5,,,,358
95385,,,,,,,,,,,,,,,,,,,29,,,,,7,,,,,,,,,,2,3,,22,,,,,,,,63
95386,,,,,,,3,21,,1,,4,11,,,,,,1618,,89,13,,479,,4,50,,2,,,24,1,17,16,,578,2,20,1,87,,,,3041
95389,,,,,,,,,,,,2,1,,,,,,56,,1,,,69,,25,41,,,,,,,,,,4,,1,,,,,,200
95401,,,,,,,3,5,,,,6,7,,,,,,1255,,61,17,,267,,2,50,,57,1,1,157,1,56,161,,189,2,23,3,104,,,,2428
95403,,,,,,,6,1,,2,,1,23,,,,,,1635,,95,26,,286,,4,47,,92,8,7,246,9,96,197,,285,8,21,5,105,,,,3205
95409,,,,,,,,2,,,,2,6,,,,,,372,,16,6,,38,,3,11,,26,1,,67,1,16,52,,49,3,11,2,16,,,,700
95410,,,,,,,,,,,,3,6,,,,,,150,,6,,,55,,6,24,,2,,,21,,,90,,5,,2,,2,,,,372
95422,,,,,,,27,51,,2,,24,38,,,,,,1994,,55,17,,280,,68,150,,24,2,3,50,2,45,85,,751,6,47,6,63,,,2,3792
